1;2;3;4
0;2,8;7,7;0
0;2,8;7,35;0
0;0,42;9,45;0
0;0,42;6,58;0
0;0,77;7,7;0
0;0,42;7,7;0
0;0,42;4,9;0
0;0,42;10,01;0
0;0,21;5,95;0
0;0,42;8,05;0
0;2,8;5,95;1
0;2,8;8,05;1
0;0,42;9,1;1
0;0,42;7,49;1
0;2,8;7,7;1
0;2,8;7,49;1
0;0,42;5,95;1
0;0,42;5,95;1
0;2,8;7,35;1
0;0,42;7,7;1
5;2,8;7,7;0
5;1,4;5,95;0
5;0,42;10,01;0
5;2,8;7,7;0
5;1,61;5,95;0
5;2,8;5,95;0
5;1,4;5,95;0
5;0,42;5,25;0
5;2,8;5,25;0
5;1,61;5,25;0
5;0,21;5,95;1
5;0,21;7,49;1
5;2,8;7,35;1
5;0,42;7,49;1
5;0,42;7,49;1
5;0,21;7,49;1
5;0,21;5,95;1
5;2,8;6,58;1
5;0,42;7;1
5;0,42;6,58;1
10;0,42;10,01;0
10;0,21;5,6;0
10;0,42;7,7;0
10;0,7;10,01;0
10;0,42;5,6;0
10;0,21;7,7;0
10;0,42;10,01;0
10;0,7;10,85;0
10;0,42;5,95;0
10;0,42;5,95;0
10;0,77;2,8;1
10;0,42;5,95;1
10;0,42;5,6;1
10;0,77;2,8;1
10;0,42;6,58;1
10;0,42;7,7;1
10;0,77;5,95;1
10;0,42;4,9;1
10;0,42;5,95;1
10;0,42;6,58;1
15;0,42;4,34;0
15;0,42;7,7;0
15;0,7;6,58;0
15;0,42;7,7;0
15;0,42;7,35;0
15;0,7;7,49;0
15;0,42;6,58;0
15;0,42;7;0
15;0,7;5,6;0
15;0,42;4,55;0
15;0,42;5,6;1
15;0,77;5,95;1
15;0,42;5,95;1
15;0,42;5,95;1
15;0,77;5,95;1
15;0,42;5,95;1
15;0,42;4,9;1
15;0,77;6,58;1
15;0,42;5,95;1
15;0,42;5,95;1
